Depreg,Mupreg,Mesreg,Anoreg,Diaocu,Mesocu,Anoocu,Depocu,Mupocu,Edadhom,Edadmuj,Gethom,Getmuj,Nachom,Nacmuj,Ocuhom,Ocumuj,Mever,Anover
1,0101,5,10,4,2,09,1,0101,999,999,9,9,99,99,9999,9999,1,2000
1,0102,3,09,4,3,09,1,0101,36,26,9,9,320,320,9999,9999,3,2000
1,0102,4,09,4,3,09,1,0101,36,26,9,9,320,320,9999,9999,3,2000
4,0401,7,09,4,5,09,1,0101,999,29,9,9,320,320,9999,9999,3,2000
1,0117,6,09,5,5,09,1,0101,33,34,2,2,320,320,9712,3343,4,2000
1,0108,6,10,5,10,09,1,0101,999,999,9,9,99,99,9999,9999,8,2000
1,0108,6,10,7,12,09,1,0101,999,999,9,9,99,99,9999,9999,12,2000
1,0108,11,09,8,8,09,1,0101,20,27,9,2,320,320,7231,9712,6,2000
1,0106,3,10,9,12,09,1,0101,999,999,9,9,99,99,9999,9999,3,2000
1,0108,1,10,9,12,09,1,0101,999,999,9,9,99,99,9999,9999,11,2000
1,0106,2,10,10,3,09,1,0101,999,999,9,9,99,99,9999,9999,2,2000
1,0101,6,09,12,5,09,1,0101,31,27,9,9,320,320,9712,4311,11,2000
1,0106,6,09,12,5,09,1,0101,39,32,9,9,320,320,9999,9999,3,2000
1,0101,4,09,13,2,09,1,0101,36,19,9,9,320,320,7115,9712,2,2000
1,0101,12,09,13,10,09,1,0101,999,999,9,9,320,320,9999,9999,4,2000
11,1108,7,09,14,4,09,1,0101,20,20,9,9,320,320,9999,9999,2,2000
1,0108,4,10,14,7,09,1,0101,999,999,9,9,99,99,9999,9999,4,2000
7,0711,7,09,14,1,09,1,0101,29,28,9,9,320,320,9712,9712,9,2000
1,0101,10,09,17,7,09,1,0101,39,36,9,9,320,320,9712,2341,10,2000
5,0504,10,09,17,8,09,1,0101,21,17,9,9,320,320,9712,9711,3,2000
1,0116,8,09,19,2,09,1,0101,35,37,9,2,320,320,5221,9999,1,2000
9,0904,10,09,22,9,09,1,0101,23,17,9,9,320,320,9999,9999,3,2000
3,0306,4,09,23,2,09,1,0101,18,18,9,9,320,320,4311,9712,2,2000
5,0507,9,09,23,6,09,1,0101,999,18,9,9,320,320,9999,9999,9,2000
1,0107,4,10,25,9,09,1,0101,999,999,9,9,99,99,9999,9999,11,2000
1,0116,12,09,26,8,09,1,0101,49,51,9,9,320,320,9999,9999,3,2000
1,0101,7,09,29,5,09,1,0101,23,25,9,9,320,320,9712,9712,2,2000
1,0101,11,09,30,10,09,1,0101,999,26,9,9,320,320,8322,9711,6,2000
1,0108,5,10,30,11,09,1,0101,999,999,9,9,99,99,9999,9999,6,2000
1,0101,3,10,31,8,09,1,0101,999,999,9,9,99,99,9999,9999,1,2000
1,0106,9,09,2,9,09,1,0101,20,19,9,9,320,320,9999,9999,1,2001
1,0106,10,09,2,9,09,1,0101,20,19,9,9,320,320,9999,9999,1,2001
1,0117,2,10,4,12,09,1,0101,999,999,9,9,99,99,9999,9999,5,2001
1,0101,3,10,5,11,09,1,0101,999,999,9,9,99,99,9999,9999,2,2001
1,0103,3,09,5,2,09,1,0101,40,34,2,2,320,320,5221,9712,12,2001
1,0108,4,10,6,11,09,1,0101,999,999,9,9,99,99,9999,9999,9,2001
5,0501,2,10,7,10,09,1,0101,999,999,9,9,99,99,9999,9999,8,2001
1,0110,8,09,7,5,09,1,0101,18,16,9,9,320,320,9999,9999,1,2001
1,0116,2,10,10,10,09,1,0101,999,999,9,9,99,99,9999,9999,8,2001
1,0108,7,09,13,5,09,1,0101,21,19,9,9,320,320,9712,9711,2,2001
1,0108,8,09,13,3,09,1,0101,28,29,9,9,320,320,9712,9712,11,2001
3,0308,8,09,14,7,09,1,0101,25,25,9,9,320,320,9999,9999,8,2001
1,0101,11,09,16,9,09,1,0101,29,28,9,9,320,320,9712,9712,1,2001
10,1015,2,09,16,1,09,1,0101,20,25,9,2,320,320,6111,9711,1,2001
20,2008,5,10,17,9,09,1,0101,999,999,9,9,99,99,9999,9999,2,2001
1,0102,5,10,17,11,09,1,0101,999,999,9,9,99,99,9999,9999,9,2001
1,0101,5,09,20,3,09,1,0101,35,35,9,9,320,320,5221,1219,8,2001
6,0608,6,09,21,4,09,1,0101,23,999,9,9,320,320,9999,9999,6,2001
1,0106,3,10,21,12,09,1,0101,999,999,9,9,99,99,9999,9999,5,2001
1,0101,12,09,22,7,09,1,0101,28,26,9,9,320,320,1219,9712,11,2001
1,0108,9,09,22,6,09,1,0101,21,16,9,9,320,320,9712,9712,1,2001
22,2201,3,10,23,3,09,1,0101,999,999,9,9,99,99,9999,9999,12,2001
1,0101,6,09,24,2,09,1,0101,29,24,9,9,320,320,9712,9712,2,2001
5,0506,5,09,25,3,09,1,0101,25,24,9,9,320,320,9999,9999,7,2001
1,0115,7,09,28,5,09,1,0101,19,19,9,9,320,320,9712,9712,4,2001
1,0108,7,09,29,5,09,1,0101,26,999,9,9,320,320,9712,9712,12,2001
1,0114,2,10,30,10,09,1,0101,999,999,9,9,99,99,9999,9999,2,2001
1,0108,10,09,31,8,09,1,0101,29,24,9,9,320,320,9712,9712,5,2001
13,1301,11,09,1,7,09,1,0101,17,17,9,9,320,320,9999,9999,12,2002
1,0117,6,09,2,4,09,1,0101,19,17,9,9,320,320,9999,9999,1,2002
1,0108,7,09,2,3,09,1,0101,21,21,9,9,320,320,9712,9712,1,2002
5,0501,6,09,3,2,09,1,0101,24,17,9,9,320,320,2341,9712,3,2002
5,0501,7,09,3,2,09,1,0101,24,17,9,9,320,320,2341,9712,3,2002
1,0101,1,10,4,11,09,1,0101,999,999,9,9,99,99,9999,9999,11,2002
1,0108,8,09,4,6,09,1,0101,29,37,9,9,99,99,9712,9712,3,2002
1,0108,3,10,4,9,09,1,0101,999,999,9,9,99,99,9999,9999,12,2002
1,0114,9,09,5,8,09,1,0101,18,17,9,9,320,320,9712,9712,11,2002
1,0101,4,10,6,11,09,1,0101,999,999,9,9,99,99,9999,9999,7,2002
1,0116,9,09,8,7,09,1,0101,19,15,9,9,320,320,9999,9999,10,2002
1,0116,11,09,8,7,09,1,0101,19,15,9,9,320,320,9999,9999,10,2002
1,0101,5,10,11,9,09,1,0101,999,999,9,9,99,99,9999,9999,8,2002
1,0108,7,09,11,6,09,1,0101,999,999,9,9,320,320,9712,9712,7,2002
1,0101,3,10,13,2,09,1,0101,999,999,9,9,99,99,9999,9999,8,2002
3,0301,5,09,13,3,09,1,0101,46,45,2,2,320,320,9999,9999,2,2002
1,0101,10,09,14,9,09,1,0101,32,31,9,9,320,31,5221,2341,3,2002
5,0501,4,09,15,1,09,1,0101,999,31,9,9,320,320,9998,9711,10,2002
1,0108,5,09,15,1,09,1,0101,22,999,9,9,320,320,9712,9712,11,2002
1,0108,9,09,15,7,09,1,0101,33,29,9,9,320,320,3435,2341,10,2002
1,0101,6,10,16,11,09,1,0101,999,999,9,9,99,99,9999,9999,2,2002
4,0404,11,09,16,2,09,1,0101,25,18,9,9,320,320,9712,9712,3,2002
1,0108,11,09,16,10,09,1,0101,26,25,9,9,320,320,9712,4311,11,2002
18,1804,12,09,17,11,09,1,0101,23,23,9,9,320,320,9999,9999,2,2002
1,0103,2,10,17,9,09,1,0101,999,999,9,9,99,99,9999,9999,10,2002
1,0116,11,09,18,9,09,1,0101,21,16,9,9,320,320,9999,9999,6,2002
1,0116,1,10,18,9,09,1,0101,999,999,9,9,99,99,9999,9999,6,2002
1,0106,9,09,19,8,09,1,0101,21,27,9,9,320,320,9999,9999,10,2002
1,0101,6,10,20,11,09,1,0101,999,999,9,9,99,99,9999,9999,6,2002
3,0308,3,10,21,9,09,1,0101,999,999,9,9,99,99,9999,9999,12,2002
1,0117,3,10,23,10,09,1,0101,999,999,9,9,99,99,9999,9999,2,2002
1,0108,4,09,23,2,09,1,0101,36,25,2,2,320,320,9998,3343,5,2002
1,0108,10,09,23,7,09,1,0101,23,21,9,9,320,320,9712,9712,11,2002
2,0205,1,10,24,9,09,1,0101,999,999,9,9,99,99,9999,9999,12,2002
1,0108,7,09,25,2,09,1,0101,33,31,2,9,320,320,3513,3343,12,2002
1,0101,5,10,26,8,09,1,0101,999,999,9,9,99,99,9999,9999,7,2002
13,1316,1,10,26,8,09,1,0101,999,999,9,9,99,99,9999,9999,7,2002
1,0101,8,09,28,4,09,1,0101,999,999,9,9,320,320,9712,9712,11,2002
3,0308,1,10,28,12,09,1,0101,999,999,9,9,99,99,9999,9999,11,2002
1,0114,10,09,29,9,09,1,0101,999,19,9,9,320,320,9999,9999,7,2002
1,0117,3,10,30,11,09,1,0101,999,999,9,9,99,99,9999,9999,6,2002
21,2107,6,09,30,3,09,1,0101,20,19,9,9,320,320,6111,9711,7,2002
1,0110,8,09,31,7,09,1,0101,20,22,9,9,320,320,4311,9712,12,2002
1,0101,11,09,2,6,09,1,0101,39,31,9,9,320,320,9712,9712,10,2003
1,0101,11,09,2,9,09,1,0101,999,28,9,9,320,320,9712,9712,9,2003
16,1601,2,10,3,9,09,1,0101,999,999,9,9,99,99,9999,9999,2,2003
1,0106,8,09,3,8,09,1,0101,21,20,9,9,320,320,9999,9999,2,2003
5,0507,12,09,3,11,09,1,0101,21,21,9,9,320,320,9999,9999,5,2003
1,0110,10,09,4,8,09,1,0101,40,42,2,9,320,320,4311,9712,9,2003
1,0101,3,10,5,11,09,1,0101,999,999,9,9,99,99,9999,9999,7,2003
1,0108,2,10,5,11,09,1,0101,999,999,9,9,99,99,9999,9999,10,2003
1,0107,3,10,6,10,09,1,0101,999,999,9,9,99,99,9999,9999,4,2003
1,0101,9,09,8,5,09,1,0101,26,28,9,9,320,320,9712,9712,7,2003
3,0308,7,09,8,5,09,1,0101,29,25,9,9,320,320,9712,9712,11,2003
1,0101,3,10,9,10,09,1,0101,999,999,9,9,99,99,9999,9999,10,2003
1,0115,6,10,10,12,09,1,0101,999,999,9,9,99,99,9999,9999,12,2003
20,2005,10,09,12,8,09,1,0101,25,30,2,2,320,320,9998,9998,10,2003
3,0308,7,09,13,2,09,1,0101,28,21,9,9,320,320,9712,9712,7,2003
19,1901,11,09,13,8,09,1,0101,21,24,9,9,320,320,9712,9712,12,2003
5,0506,1,10,15,10,09,1,0101,999,999,9,9,99,99,9999,9999,12,2003
1,0108,10,09,15,5,09,1,0101,31,29,9,9,320,320,9712,9712,11,2003
1,0108,9,09,17,7,09,1,0101,19,19,9,9,320,320,9712,9712,6,2003
1,0108,11,09,17,9,09,1,0101,22,20,9,9,320,320,9712,9712,5,2003
1,0101,5,09,21,4,09,1,0101,33,24,9,9,320,320,9712,9712,6,2003
1,0101,2,10,21,9,09,1,0101,999,999,9,9,99,99,9999,9999,12,2003
1,0116,10,09,21,7,09,1,0101,25,34,2,2,320,320,6111,9711,5,2003
1,0108,10,09,21,4,09,1,0101,28,24,9,9,320,320,4311,3412,8,2003
1,0102,4,09,22,1,09,1,0101,21,20,9,9,320,320,9999,9999,3,2003
1,0108,2,10,22,12,09,1,0101,999,999,9,9,99,99,9999,9999,9,2003
7,0704,12,09,22,5,09,1,0101,27,18,9,9,320,320,2341,9711,1,2003
1,0108,6,09,27,1,09,1,0101,35,32,9,9,320,320,4311,3343,12,2003
1,0108,12,09,27,4,09,1,0101,28,23,9,9,320,320,9712,9712,10,2003
1,0108,2,09,28,1,09,1,0101,28,28,9,9,50,320,2141,2141,6,2003
1,0108,10,09,28,8,09,1,0101,999,22,9,9,320,320,9712,9712,2,2003
1,0101,3,10,30,10,09,1,0101,999,999,9,9,99,99,9999,9999,6,2003
1,0106,8,09,30,7,09,1,0101,21,17,9,9,320,320,9999,9999,4,2003
22,2203,6,09,30,4,09,1,0101,20,21,9,9,320,320,9712,9999,12,2003
1,0108,12,09,30,3,09,1,0101,42,29,9,9,320,320,2141,9712,4,2003
1,0108,12,09,3,9,09,1,0101,29,31,9,9,320,320,7132,9712,8,2004
1,0101,10,09,4,9,09,1,0101,27,999,9,9,320,320,9712,9712,3,2004
6,0605,6,09,6,3,09,1,0101,29,20,2,2,320,320,9999,9999,7,2004
3,0308,11,09,6,10,09,1,0101,29,26,9,9,320,320,9999,9999,11,2004
21,2101,6,09,6,3,09,1,0101,24,20,9,9,320,320,9712,9712,7,2004
1,0116,10,09,7,9,09,1,0101,23,22,2,2,320,320,9999,9999,8,2004
1,0113,1,10,7,10,09,1,0101,999,999,9,9,99,99,9999,9999,4,2004
3,0308,10,09,7,9,09,1,0101,32,26,9,9,320,320,9999,9999,8,2004
1,0116,10,09,8,7,09,1,0101,26,26,9,9,320,320,9712,9712,6,2004
