depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj
9,0901,7,2011,21,2,2011,9,0901,44,14,9,9,320,320,9,9,2212,9999
1,0101,8,2011,7,4,2011,1,0101,999,999,9,9,320,40,9,9,2142,2351
1,0101,10,2011,5,9,2011,1,0101,999,999,9,9,320,68,9,9,2611,2642
18,1801,8,2011,6,7,2011,18,1801,999,999,9,9,320,124,9,9,9211,9999
1,0101,11,2011,29,7,2011,1,0101,999,999,9,9,320,124,9,9,9999,9999
1,0101,2,2012,27,12,2011,1,0101,36,37,9,2,222,170,1,4,3153,9712
1,0101,9,2011,1,4,2011,1,0101,999,999,9,9,320,170,9,9,9999,9999
1,0101,7,2011,14,4,2011,1,0101,999,999,9,9,320,170,9,9,2652,9711
1,0101,6,2012,25,8,2011,1,0101,23,29,2,9,320,170,5,9,2421,5249
1,0108,6,2012,14,9,2011,1,0101,999,999,9,9,320,170,9,9,2211,9998
1,0101,11,2011,4,2,2011,1,0101,999,999,9,9,320,188,1,1,9999,9999
21,2101,11,2011,4,10,2011,21,2101,999,999,9,9,320,188,9,9,2341,9712
1,0101,8,2011,27,6,2011,1,0108,999,999,9,9,840,188,9,9,9712,9712
1,0101,5,2011,25,3,2011,1,0101,29,32,9,9,320,192,1,1,9999,9999
1,0101,4,2012,25,11,2011,1,0101,30,29,9,9,320,218,9,9,9999,9999
1,0101,7,2011,25,5,2011,1,0101,999,999,9,9,320,218,9,9,9999,9999
3,0301,9,2011,12,4,2011,1,0101,35,24,2,2,320,218,9,9,9999,9999
1,0115,9,2011,15,8,2011,1,0115,25,23,2,2,320,222,9,9,9712,9711
1,0101,3,2012,4,10,2011,1,0101,999,999,9,9,320,222,9,9,9712,9712
1,0115,9,2011,14,4,2011,1,0101,999,999,9,9,320,222,9,9,9712,9999
18,1804,7,2011,31,5,2011,18,1801,999,999,9,9,320,222,9,9,9999,9999
1,0101,11,2011,8,7,2011,1,0101,999,999,9,9,320,222,9,9,9712,7531
22,2201,2,2011,25,1,2011,22,2201,999,999,9,9,320,222,9,9,6111,9999
1,0101,4,2012,26,8,2011,16,1601,999,999,9,9,320,222,9,9,9999,9999
6,0608,6,2011,6,6,2011,6,0601,999,999,9,9,320,222,9,9,9999,9999
1,0101,12,2011,19,5,2011,1,0101,999,999,9,2,320,222,9,9,9999,9999
22,2203,7,2011,19,5,2011,1,0101,999,999,9,2,320,222,9,9,9999,9999
1,0101,12,2011,4,11,2011,1,0101,999,999,9,9,320,222,9,9,5221,2261
1,0101,10,2011,12,8,2011,1,0101,999,999,9,9,320,222,9,9,2142,4120
1,0101,7,2011,24,6,2011,1,0101,999,999,9,9,320,276,9,9,5221,2631
1,0101,9,2011,20,7,2011,1,0101,999,999,9,9,9999,276,1,9,7231,7231
1,0101,9,2011,25,7,2011,1,0101,999,999,9,9,1020,276,9,9,5221,2643
18,1801,1,2012,27,10,2011,18,1801,999,999,9,9,32,320,9,9,5221,9999
1,0101,10,2011,8,9,2011,1,0101,999,999,9,9,32,320,9,9,9999,9999
15,1507,10,2011,31,7,2011,15,1507,999,999,9,9,68,320,9,1,9999,9999
