DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,ESCOLARIDAD_HOMBRE,ESCOLARIDAD_MUJER,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,ESCOLARIDAD_VICTIMA,ESCOLARIDAD_AGRESOR,OCUPACION_VICTIMA,OCUPACION_AGRESOR,TIPO_MEDIDA_MAS_FREC,INST_DENUNCIA,TOTAL_VIF
1,2009,,,,,0,33.99172667381645,38.70292630611307,26.0,26.0,5220.0,5220.0,Z,4,6527
1,2010,36.36,33.90196078431372,,,1182,33.85545672254533,37.701505302771125,29.0,29.0,5220.0,5220.0,IJ,4,5846
1,2011,36.44019138755981,33.927570093457945,,,1770,34.53638322559257,38.54649428145201,26.0,26.0,5220.0,5220.0,ABCIJ,4,6033
1,2012,35.436162361623616,33.11505681818182,1.0,1.0,5288,34.62372525494901,39.107828434313134,49.0,49.0,9111.0,5249.0,Z,4,6668
1,2013,34.646153846153844,32.98461538461538,1.0,1.0,1575,34.61976470588235,38.0,49.0,29.0,9111.0,5249.0,Z,4,6375
1,2014,,,,,0,34.98068592057762,39.538808664259925,49.0,49.0,9111.0,5249.0,Z,4,5540
1,2015,35.07328990228013,32.096,4.0,4.0,6712,34.53354995938262,37.38943948009748,49.0,49.0,5249.0,5249.0,IJ,4,6155
1,2016,34.88717948717949,31.04568527918782,4.0,4.0,2028,35.25161180861893,38.11520190023753,49.0,49.0,5249.0,5249.0,Z,4,5894
1,2017,,,,,0,34.991650853889944,37.722390891840604,49.0,49.0,9111.0,5249.0,IJ,4,5270
1,2018,,,,,0,35.865369799691834,39.624614791987675,49.0,49.0,9111.0,8322.0,IJ,4,5192
2,2009,,,,,0,33.47144152311877,36.811423390752495,26.0,26.0,5220.0,9211.0,,4,1103
2,2010,31.4,29.0,,,31,33.259963768115945,35.531702898550726,26.0,26.0,9131.0,9211.0,IJ,4,1104
2,2011,37.523809523809526,30.42105263157895,,,101,32.61305147058823,36.208639705882355,26.0,26.0,5220.0,6111.0,,3,1088
2,2012,36.07462686567164,31.013513513513512,4.0,1.0,244,33.02408477842004,35.50481695568401,26.0,26.0,9111.0,6111.0,IJ,3,1038
2,2013,32.0,29.0,1.0,1.0,36,32.91740674955595,36.826820603907635,26.0,26.0,6111.0,6111.0,IJ,3,1126
2,2014,,,,,0,33.96153846153846,39.73076923076923,26.0,26.0,6111.0,6111.0,IJ,3,1066
2,2015,34.035714285714285,30.833333333333332,1.0,4.0,348,35.22654462242563,40.15560640732266,26.0,10.0,6111.0,6111.0,IJ,3,874
2,2016,34.0,29.8,3.0,4.0,44,35.39493293591654,42.97317436661699,29.0,29.0,5249.0,6111.0,IJ,3,671
2,2017,,,,,0,34.765508684863526,37.9863523573201,29.0,29.0,5249.0,6111.0,IJ,3,806
2,2018,,,,,0,35.55522682445759,40.57988165680474,29.0,29.0,5249.0,6111.0,IJ,3,1014
3,2009,,,,,0,32.743975903614455,38.77560240963855,10.0,26.0,9131.0,9211.0,,3,1328
3,2010,34.0,31.764705882352942,,,50,32.9640234948605,42.00954478707783,10.0,29.0,9131.0,9211.0,IJ,4,1362
3,2011,33.285714285714285,34.0,,,70,32.69277108433735,40.94979919678715,29.0,29.0,9131.0,6111.0,J,4,1494
3,2012,30.892307692307693,27.940298507462686,1.0,1.0,178,33.016523867809056,40.216034271725825,29.0,29.0,9111.0,6111.0,,4,1634
3,2013,35.166666666666664,28.0,5.0,4.0,48,32.9977311401021,38.435053885422576,29.0,26.0,9111.0,6111.0,IJ,4,1763
3,2014,,,,,0,33.72140575079872,39.05111821086262,10.0,26.0,5249.0,6111.0,IJ,4,1565
3,2015,34.73529411764706,31.9375,4.0,4.0,336,33.88382541720154,41.897946084724005,10.0,26.0,9111.0,6111.0,IJ,4,1558
3,2016,37.95,32.388888888888886,5.0,4.0,124,34.61651504548635,42.88033589923023,26.0,26.0,9111.0,6111.0,IJ,4,1429
3,2017,,,,,0,33.59861809045226,43.22487437185929,26.0,26.0,9111.0,6111.0,IJ,4,1592
3,2018,,,,,0,33.75218658892128,41.21690962099125,26.0,26.0,9111.0,6111.0,IJ,4,1715
