ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD
2009,1,20,101,1,2,11, , , ,1,29, ,1,1,2, ,1,9, ,4,99,99,99,99,99,18,1,2009,101,1,1212,9, ,1,58,1,29,1,1,1,2, ,9,1, 
2009,1,8,201,3,1,4, , , , , , ,1,1, , , ,2, ,4,2,0,0,1,1,2,1,2009,511,9,1122,2, ,2,27,1,23,1,1,1,1,8263, ,6, 
2009,1,12,201,1,1,11, , , ,1,22, ,1,1,2, ,3,2, ,4,2,0,0,2,0,12,1,2009,208,2,1122,2, ,1,35,2,10,3,1,1,1,9211, ,6, 
2009,1,6,204,2,2,6, , , , , , ,1,1, , , ,2, ,4,1,1,0,0,0,3,1,2009,204,1,2122,2, ,1,35,1,22,1,1,1,1,5220, ,4,1
2009,1,6,204,2,1,11, , , ,1,24, ,1,1,2, ,3,2, ,4,0,0,0,0,0,3,1,2009,204,2,2122,2, ,1,35,1,22,1,1,1,1,5220, ,4,1
2009,1,2,206,2,1,1, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,2,1,2009,206,1,1122,9, ,1,27,1,26,3,1,1,1,9999, ,3, 
2009,1,18,1201,1,2,10, , , ,2,10, ,1,1,2, ,9,2, ,4,0,0,0,0,0,17,1,2009,1201,1,2122,2, ,1,31,1,55,2,1,1,1,2429, ,4,2
2009,1,18,1504,1,1,8, , , ,2,10, ,9,1,9, , ,9, ,7,99,99,99,99,99,18,1,2009,1504,2,2122,9, ,1,65,9,99,3,6,1,9, , ,3, 
2009,1,19,1712,2,2,10, , , ,1,25, ,1,1,9, , ,9, ,5,5,0,0,1,4,19,1,2009,1712,2,1121,2, ,1,60,1,21,3,1,1,1,9211, ,6, 
2009,1,21,1001,2,2,10, , , ,1,25, ,1,1,1,5220, ,2, ,10,99,99,99,99,99,19,1,2009,1001,1,2112,2, ,1,38,1,33,2,5,1,1,9211, ,3, 
2009,2,3,116,2,2,7, , , ,1,21, ,1,1,2, ,9,9, ,5,99,99,99,99,99,3,2,2009,116,2,2212,2, ,1,28,1,26,2,1,1,1,8263, ,1, 
