ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GRUPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD
2010,1,15,101,1,2,35,1,1,0,1,49,2,1,1,1,4211, ,2, ,1,1,0,0,1,0,14,1,2010,101,1,1121,1,4,1,37,1,49,2,1,1,1,4111, ,4,1
2010,1,14,101,1,2,36,3,2,1,1,29,1,1,1,1,5220, ,2, ,3,3,0,0,2,1,12,1,2010,101,2,1121,2, ,1,38,1,29,1,1,1,1,5220, ,4,1
2010,1,15,101,1,2,36,1,1,0,1,49,1,1,1,1,1314, ,2, ,3,1,0,0,1,0,4,1,2010,101,1,2121,2, ,1,38,1,49,1,1,1,1,4111, ,4,1
2010,1,14,101,1,2,25,1,1,0,1,49,1,1,1,1,4115, ,2, ,3,1,0,0,1,0,13,1,2010,101,1,1111,1,4,1,28,1,49,1,1,1,1,4111, ,4,1
2010,1,14,101,1,2,53,0,0,0,1,29,2,1,1,2, ,1,2, ,10,0,0,0,0,0,10,10,2009,101,2,2121,2, ,2,25,1,49,2,1,1,1,4111, ,4,1
2010,1,13,101,1,2,24,2,1,1,1,29,1,1,1,1,5220, ,2, ,3,2,0,0,1,1,11,1,2010,101,1,1121,1,3,1,26,1,29,1,1,1,2, ,9,4,1
2010,1,13,101,1,2,32,1,0,1,1,49,2,1,1,2, ,1,2, ,3,1,0,0,0,1,12,1,2010,108,1,1121,2, ,1,35,1,39,2,1,1,1,5220, ,4,1
2010,1,12,101,1,2,44,4,2,2,1,29,2,1,1,2, ,1,2, ,10,4,2,2,0,0,10,1,2010,101,1,1121,2, ,2,40,1,29,1,1,1,2, ,1,4,1
2010,1,12,101,1,2,34,3,2,1,1,49,2,1,1,1,4222, ,2, ,1,3,0,0,2,1,10,1,2010,101,1,1121,1,4,1,36,1,49,2,1,1,1,1314, ,4,1
2010,1,12,101,1,2,36,2,2,0,1,49,2,1,1,1,1314, ,2, ,1,2,1,0,1,0,10,1,2009,117,1,2121,1,4,1,38,1,49,2,1,1,1,1314, ,4,1
2010,1,12,101,1,1,49,3,1,2,1,29,2,1,1,1,9112, ,2, ,10,4,1,1,1,1,10,1,2010,101,1,2121,1,4,2,40,1,29,1,1,1,2, ,1,4,1
2010,1,12,101,1,2,30,2,1,1,1,29,1,1,1,1,9322, ,2, ,3,2,0,0,1,1,11,1,2010,117,1,1121,1,3,1,32,1,29,1,1,1,1,5220, ,4,1
2010,1,12,101,1,2,26,2,2,0,1,29,2,1,1,2, ,1,2, ,1,2,0,0,2,0,10,1,2010,102,1,1111,1,4,1,28,1,49,2,1,1,1,1314, ,4,1
2010,1,12,101,1,2,26,1,1,0,1,39,2,1,1,1,5141, ,2, ,3,1,0,0,1,0,11,1,2010,101,1,1121,1,4,1,28,1,49,2,1,1,2, ,9,4,1
