ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GRUPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD,LEY_APLICABLE
2011,1,2,110,1,2,28,1,0,1,1,59,1,1,1,1,3310, ,2, ,2,99,99,99,99,99,2,1,2011,110,1,1121,1,4,1,32,1,49,9,1,1,1,9112, ,4,1,9
2011,1,5,110,1,2,24,2,2,0,1,26,2,2,1,2, ,1,2, ,1,99,99,99,99,99,4,1,2011,110,2,2122,2, ,1,24,1,26,2,2,9,1,8263, ,4,1,1
2011,1,7,110,1,2,24,1,1,0,1,49,2,1,1,1,3310, ,9, ,1,99,99,99,99,99,7,1,2011,110,2,1122,9, ,1,29,1,29,2,1,1,1,9211, ,4,1,1
2011,1,24,110,1,2,28,3,2,1,1,49,3,1,1,1,5141, ,2, ,2,99,99,99,99,99,23,1,2011,110,1,2121,2, ,1,99,1,33,3,1,1,1,8322, ,4,1,1
2011,1,24,110,1,2,32,5,3,2,2,10,3,2,1,2, ,1,2, ,2,99,99,99,99,99,18,1,2011,110,2,1122,2, ,1,33,1,22,1,2,1,1,9313, ,4,1,3
2011,1,6,101,1,1,32,1,0,1,1,49,2,1,1,1,2460, ,2, ,1,1,0,1,0,0,4,1,2011,101,1,2122,1,3,2,99,9,99,2,9,9,9, , ,4,9,9
2011,1,14,101,1,2,31,2,1,1,1,46,1,1,1,2, ,1,2, ,3,0,0,0,0,0,9,1,2011,105,1,2122,2, ,1,30,1,33,1,1,1,1,5169, ,4,1,1
2011,1,3,101,1,2,34,99,99,99,1,46,2,1,1,1,4115, ,9, ,1,99,99,99,99,99,30,5,2010,101,1,2122,9, ,1,33,1,46,2,1,9,2, ,9,1, , 
2011,1,18,101,1,2,27,1,0,1,1,33,1,1,1,2, ,1,9, ,3,0,0,0,0,0,28,3,2010,116,1,1112,1,4,1,28,1,33,2,1,1,1,5169, ,4,1,1
2011,1,19,101,1,2,27,3,1,2,1,45,2,1,1,1,5220, ,2, ,1,0,0,0,0,0,15,1,2011,101,1,1122,1,4,1,30,1,49,2,1,1,1,9112, ,4,1,1
2011,1,20,101,1,2,29,2,1,1,1,46,1,6,1,1,7436, ,2, ,9,99,99,99,99,99,19,1,2011,101,1,2122,2, ,2,20,1,33,1,6,1,2, ,1,4,1,1
2011,1,3,101,1,2,60,8,5,3,1,22,1,3,1,1,5220, ,2, ,9,99,99,99,99,99,2,1,2010,101,1,1122,2, ,2,35,1,26,1,6,1,2, ,1,4,1,1
2011,1,4,101,1,2,44,2,1,1,1,46,2,6,1,1,4211, ,2, ,1,99,99,99,99,99,2,1,2011,101,1,2122,2, ,1,47,1,46,2,6,1,1,7231, ,4,1,1
2011,1,4,101,1,1,58,3,2,1,1,25,1,6,1,1,7122, ,2, ,6,99,99,99,99,99,1,1,2011,116,1,1122,2, ,1,32,1,31,1,6,1,1,7122, ,4,1,1
2011,1,4,101,1,2,32,99,99,99,1,33,2,6,1,1,5141, ,2, ,1,99,99,99,99,99,3,1,2011,101,1,2121,2, ,1,33,1,46,2,6,1,1,1314, ,4,1,1
2011,1,5,101,1,2,29,1,1,0,1,46,1,6,1,1,1314, ,2, ,3,99,99,99,99,99,4,1,2011,101,1,2122,2, ,1,30,1,46,1,6,1,1,9112, ,4,1,1
2011,1,5,101,1,2,56,3,2,1,1,23,1,6,1,2, ,1,2, ,3,99,99,99,99,99,4,1,2010,102,1,1122,2, ,1,46,1,31,1,6,1,1,5220, ,4,1,1
2011,1,6,101,1,2,35,2,1,1,1,46,2,6,1,2, ,1,2, ,1,99,99,99,99,99,31,12,2010,101,1,2122,2, ,1,35,1,46,2,6,1,1,1314, ,4,1,1
2011,1,6,101,1,2,27,1,0,1,1,23,1,6,1,2, ,1,2, ,3,99,99,99,99,99,4,1,2011,101,1,2122,2, ,1,37,1,26,1,6,1,1,5169, ,4,1,1
2011,1,6,101,1,2,53,3,2,1,1,46,2,6,1,1,1314, ,2, ,1,99,99,99,99,99,5,1,2010,101,1,2122,2, ,1,53,1,46,2,6,1,1,1314, ,4,1,1
2011,1,10,101,1,2,30,4,0,4,1,26,2,6,1,1,9112, ,2, ,1,99,99,99,99,99,8,1,2011,101,1,1122,9, ,1,32,1,33,2,6,1,1,8223, ,4,1,1
2011,1,10,101,1,2,35,2,1,1,1,21,2,6,1,2, ,1,2, ,1,99,99,99,99,99,7,1,2011,101,1,1122,2, ,1,39,1,23,2,6,1,1,9112, ,4,1,1
2011,1,10,101,1,2,54,99,99,99,1,26,1,6,1,2, ,1,2, ,9,99,99,99,99,99,8,1,2011,101,1,2122,2, ,2,57,1,21,1,6,1,2, ,1,4,1,1
