DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
3,309,1,2015,7,8,3,309,30,27,9,9,124,320,1,1,52,NEOG
1,101,5,2015,5,12,1,101,48,999,4,9,156,320,4,1,52,51
1,101,5,2015,17,9,1,101,999,999,9,9,192,320,9,9,26,52
1,101,1,2015,4,9,1,101,42,34,9,4,208,320,1,5,52,52
1,101,5,2015,6,11,1,101,30,30,9,4,218,320,1,4,IGNORADO,NEOG
1,101,1,2015,14,10,1,101,999,999,9,9,276,320,9,9,NEOG,NEOG
1,101,1,2015,10,12,1,101,999,999,9,9,276,320,9,9,NEOG,NEOG
1,101,2,2015,17,11,1,114,28,27,9,4,320,320,1,4,12,21
1,101,1,2015,17,11,20,2001,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,24,7,21,2106,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,14,8,1,101,40,36,4,4,320,320,4,4,43,NEOG
1,101,1,2015,11,4,1,101,999,999,9,9,320,320,1,1,NEOG,41
1,101,1,2015,3,7,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,25,2,1,108,999,999,4,9,320,320,4,3,NEOG,43
1,101,1,2015,15,12,1,101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,1,9,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,11,9,1,101,999,999,9,9,320,320,9,9,52,NEOG
1,101,1,2015,1,12,1,101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,10,10,2,208,47,37,4,4,320,320,9,9,61,NEOG
1,101,1,2015,2,10,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,22,9,1,115,999,999,9,9,320,320,9,1,NEOG,NEOG
1,101,1,2015,1,12,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,25,9,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,14,10,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,5,9,1,106,40,33,9,4,320,320,9,5,IGNORADO,44
1,101,1,2015,23,10,1,108,48,45,9,4,320,320,1,4,NEOG,41
1,101,1,2015,26,11,1,101,999,999,9,9,320,320,9,9,NEOG,43
1,101,1,2015,1,12,1,101,999,999,9,9,320,320,9,9,IGNORADO,43
1,101,1,2015,3,10,1,106,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,16,7,1,101,32,26,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,5,9,1,101,52,999,4,9,320,320,4,9,52,NEOG
1,101,1,2015,29,9,1,101,999,999,9,9,320,320,1,1,96,NEOG
1,101,1,2015,5,12,6,602,58,59,4,4,320,320,1,1,92,NEOG
1,101,1,2015,29,9,1,101,999,999,9,9,320,320,9,9,41,NEOG
1,101,1,2015,17,10,1,107,59,51,4,4,320,320,5,2,26,NEOG
1,101,1,2015,31,7,1,101,999,999,9,9,320,320,9,9,92,NEOG
1,101,1,2015,20,11,1,101,999,999,9,9,320,9999,9,9,75,NEOG
1,101,1,2015,27,6,1,101,999,999,9,9,320,320,9,9,61,NEOG
1,101,1,2015,1,12,1,101,999,999,9,9,320,320,9,9,NEOG,IGNORADO
1,101,1,2015,4,9,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,22,10,1,101,999,999,9,9,320,320,9,9,21,NEOG
1,101,1,2015,29,10,1,108,999,999,9,9,320,9999,9,9,31,23
1,101,1,2015,3,11,1,101,46,38,4,4,320,320,5,5,21,23
1,101,1,2015,11,12,22,2212,23,20,4,4,320,320,4,4,NEOG,41
1,101,1,2015,12,8,1,101,999,999,9,9,320,320,9,9,34,NEOG
1,101,1,2015,19,9,1,115,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,15,12,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,17,11,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,27,10,1,101,999,999,9,9,320,320,9,9,52,NEOG
1,101,1,2015,28,10,1,101,29,29,4,4,320,320,4,4,43,35
1,101,1,2015,24,10,1,101,999,999,9,9,320,320,1,1,NEOG,NEOG
1,101,1,2015,22,10,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,8,10,15,1504,47,34,9,4,320,320,2,4,71,34
1,101,1,2015,13,10,9,901,999,999,9,9,320,320,9,9,NEOG,IGNORADO
1,101,1,2015,8,12,1,101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,15,12,1,101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,24,11,14,1401,31,34,1,4,320,320,2,4,NEOG,NEOG
1,101,1,2015,23,9,1,101,28,30,4,4,320,320,5,5,34,24
1,101,1,2015,10,11,1,117,32,29,4,4,320,320,4,4,NEOG,41
1,101,1,2015,13,10,1,101,999,999,9,9,320,320,9,9,24,41
1,101,1,2015,4,4,1,108,999,999,9,9,320,320,9,9,NEOG,NEOG
1,101,1,2015,6,11,1,101,999,999,9,9,320,320,1,1,IGNORADO,IGNORADO
1,101,1,2015,24,11,1,101,23,23,4,4,320,1034,4,5,NEOG,NEOG
1,101,1,2015,28,10,1,101,32,37,4,4,320,320,4,5,NEOG,26
1,101,1,2015,29,10,1,101,26,26,9,9,320,320,9,9,34,35
1,101,1,2015,5,5,1,101,999,999,9,9,320,320,9,9,92,NEOG
1,101,1,2015,20,11,1,101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,1,2015,11,12,1,115,37,30,4,4,320,320,4,9,NEOG,NEOG
1,101,1,2015,22,9,1,101,30,32,4,4,320,320,5,4,25,23
1,101,1,2015,30,12,1,101,53,52,9,4,320,320,4,3,NEOG,51
1,101,2,2015,28,11,1,116,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,101,2,2015,17,11,1,101,999,999,9,9,320,320,9,1,43,41
1,101,2,2015,10,10,1,101,33,26,4,4,320,320,5,4,24,42
1,101,2,2015,19,9,1,101,999,999,9,9,320,320,9,9,NEOG,NEOG
